Japanese,English
の,of
に,On
を,of
は,teeth
年,Year
が,but
た,rice field
で,and
て,hand
と,and
し,death
月,Month
日,Day
れ,Conceit
さ,difference
者,person
する,do
も,and
ます,increase
利用,use
こと,matter
ある,be
いる,Be
な,Named
から,from
い,stomach
ない,do not have
ページ,page
第,First
へ,fart
や,or
日本,Japan
として,As
です,is
か,mosquito
会話,conversation
削除,delete
この,this
市,city
県,prefecture
れる,Be
あり,can be
ん,yeah
よう,So
ため,For
的,Intended
編集,edit
ください,please give me
人,Man
という,As
など,Such
依頼,request
なっ,In
名,given name
版,Plate
でき,Can
ませ,Not
リンク,Link
駅,station
記事,article
‐,-
について,about
う,cormorant
その,the
もの,thing
投稿,Posting
ば,palce
町,town
まし,Better
なる,Become
場合,case
あっ,Ah
ノート,Note
号,issue
方針,policy
回,times
さん,Mr. Miss.
まで,to
だ,is
中,During ~
ので,So
一,one
放送,broadcast
後,rear
おり,Welcome
人物,person
署名,signature
本,Book
において,In
家,House
られ,Be
また,again
選手,player
お,oh
活動,Activity
東京,Tokyo
画像,image
会,Meeting
学校,school
映画,movie
時,Time
情報,information
性,sex
部,Department
より,Than
案内,guidance
質問,question
区,Ward
ご,Go game
大,Big
上,Up
紹介,introduction
作成,create
日本語,Japanese
これ,this
位,Position
国,Country
二,two
一覧,List
作品,the work
ようこそ,welcome
議論,Discussion
使用,use
村,village
出典,source
世界,world
テレビ,tv set
による,according to
州,state
なり,In
三,three
問題,problem
昭和,Showa
線,line
郡,county
番組,program
ファイル,File
脚注,footnote
賞,award
なく,With no
なら,Oral
自己,self
話,Story
ず,figure
により,By
分,Part
前,Before
代表,representative
たら,Then
せ,height
化,Change
平成,Heisei
に関する,Related to
できる,can
出身,where one is from
仮,tentative
スタイル,style
ガイドライン,Guideline
思い,thought
方,direction
外部,external
数,number
五,Five
内容,Content
児童,Child
関連,connection
ヘルプ,help
現在,the current
時代,Era
元,Origin
それ,that
研究,the study
新,new
注意,Note
他,other
金,Money
局,Bureau
機能,function
あなた,you
除去,Removal
鉄道,Railway
項目,item
】,]
【,[
目,eye
とき,Time
用,for
曲,song
社,Shrine
使い方,How to use
必要,need
説明,explanation
基本,Basics
によって,By
大学,University
変更,change
水,water
新しい,new
チーム,team
執筆,writing
道,the way
間,while
型,Mold
でしょ,right
サッカー,soccer
大会,Conference
ガイドブック,Guidebook
地,Land
のみ,only
み,fruit
書か,Writing
べき,Should be
たり,Otherwise
ブロック,block
私,I
戦,War
公式,official
出演,Appearance
可能,Possible
登場,Appearance
等,etc
系,system
特別,special
監督,directed by
氏,Mr.
次,Next
だっ,But
高等,High
時間,time
き,tree
～,~
内,Inside
音楽,music
歴史,history
所,Place
発売,Release
だけ,only
語,word
なかっ,Not
ボックス,box
生徒,student
学,Learning
記録,record
軍,army
万,Ten thousand
！,!
場,Place
全,all
別,another
初,first time
シリーズ,series
土,soil
木,wood
総合,Comprehensive
何,what
行っ,Going to
ゲーム,game
サイト,site
関係,relationship
られる,Be
お願い,please
同じ,same
サンド,sand
つ,Dedicated
考え,idea
見,look
火,fire
アルバム,album
点,point
機,Machine
アニメ,animation
国際,international
法,Law
ドラマ,Drama
大阪,Osaka
ただし,however
行わ,Holding
たち,All
柱,Pillar
マニュアル,manual
リーグ,league
コメント,comment
教育,education
野球,baseball
方々,Persons
確認,confirmation
役,Role
株式会社,Ltd.
同,same
こんにちは,Hello
書く,write
長,Long
所属,Affiliation
開始,start
主,main
形,shape
アメリカ,America
アカウント,account